Name,Latitude,Longitude,,keyword,
88JC,37.58406239,126.8203433,,,
가락IC,35.1654229,128.8920051,,,
가산IC,36.09581386,128.5332817,,,
가조IC,35.70266646,128.0225621,,,
가좌IC,37.48451192,126.6748716,,,
감곡IC,37.12456128,127.6701039,,,
강릉IC,37.74940747,128.8387524,,,
강릉JC,37.77257965,128.8321266,,,
강일IC,37.57298285,127.1655061,,,
강진IC,34.69748972,126.7150934,,,
강촌IC,37.73462295,127.6245735,,,
거창IC,35.67927368,127.9352663,,,
건천IC,35.8437967,129.0852646,,,
검단양촌IC,37.60061093,126.6183942,,,
경기광주IC,37.44796257,127.2696174,,,
경기광주JC,37.37346851,127.3167727,,,
경부고속국도시점,0,0,,,한남IC/구서IC
경산IC,35.87694385,128.7876298,,,
경주IC,35.80711507,129.1851116,,,
계룡IC,36.25237416,127.2800447,,,
계양IC,37.54408254,126.7487437,,,
고기JC남측,37.36117875,127.0628657,,서분당(고기)IC,
고기JC북측,37.36117875,127.0628657,,서분당(고기)IC,
고기터널남측,37.35120705,127.0629172,,고기터널,
고기터널북측,37.35120705,127.0629172,,고기터널,
고덕IC,36.76191563,126.7050999,,,
고등IC,37.42774251,127.0908185,,,
고령IC,35.70168473,128.2512725,,,
고령JC,35.75775298,128.3726546,,,
고모IC,37.80905957,127.1587332,,,
고서JC,35.22416455,126.9605661,,,
고성IC,35.00759233,128.3495621,,,
고양IC,37.65647275,126.817907,,,
고양JC,37.66779626,126.8534749,,,
고잔TG,37.38236691,126.7143266,,,
고창IC,35.43984844,126.6638881,,,
고창JC,35.41718383,126.6529983,,,
고흥IC,34.8238832,127.3420288,,,
곡성IC,35.22608139,127.2233007,,,
곤양IC,35.05705813,127.9672392,,,
곤지암1터널,37.37526908,127.3627628,,,
곤지암IC,37.35244913,127.3208966,,,
곤지암JC,37.30926994,127.355313,,,
곤지암JCT,37.37346851,127.3167727,,,
공주IC,36.49145202,127.121646,,,
공주JC,36.48563917,127.0918404,,,
공항신도시JC,37.48533499,126.4888914,,,
공항입구IC,37.50561412,126.5074323,,,
광교IC,37.29969474,127.0503039,,,
광명IC,37.43979186,126.8499826,,,
광명역IC,37.4041271,126.8792885,,,
광산IC,35.21713178,126.8279603,,,
광양IC,34.97340494,127.6035243,,,
광재IC,35.30533003,128.8965858,,,
광천IC,36.49845278,126.5851913,,,
괴산IC,36.86721659,127.9233788,,,
구례화엄사,35.25728671,127.4979666,,,
구례화엄사IC,35.24998961,127.419207,,,
구리IC,37.61543976,127.1416346,,,
구리TG,37.58970968,127.1570026,,,
구미IC,36.10898911,128.3607373,,,
구병산Hi,36.44843772,127.8703213,,구병산하이패스ic,
구서IC,35.25065187,129.0975839,,,
구포IC,35.21552914,129.003101,,,
군북IC,35.28154837,128.324751,,,
군산IC,36.00904775,126.7993687,,,
군위IC,36.19913053,128.5590463,,,
